,beds,types,postcode,size,price
0,3.0,TOWN HOUSE,S3,112.0,345000
1,2.0,TOWN HOUSE,S20,65.7,155000
2,6.0,DETACHED,S10,10117.0,2000000
3,6.0,SEMI-DETACHED,S2,225.5,350000
4,4.0,DETACHED,S11,214.0,825000
5,2.0,TERRACED,S20,64.0,155000
6,4.0,SEMI-DETACHED,S2,96.0,280000
7,3.0,SEMI-DETACHED,S60,96.0,247995
8,3.0,TERRACED,S2,99.0,195000
9,6.0,DETACHED,S10,147.0,2000000
10,6.0,DETACHED,S7,475.1,995000
11,3.0,SEMI-DETACHED,S2,69.2,155000
12,2.0,SEMI-DETACHED,S26,73.4,170000
14,5.0,DETACHED,S11,4500.0,1750000
15,2.0,SEMI-DETACHED,S63,62.0,115000
16,1.0,FLAT,S1,61.0,87950
17,2.0,SEMI-DETACHED,S12,96.0,125000
18,5.0,SEMI-DETACHED,S11,183.0,615000
19,3.0,SEMI-DETACHED,S21,96.0,150000
22,3.0,SEMI-DETACHED,S13,96.0,220000
23,2.0,TERRACED,S2,96.0,188000
24,3.0,TERRACED,S2,64.0,195000
25,8.0,DETACHED,S10,147.0,2000000
26,1.0,DETACHED,S4,38.0,1250000
27,6.0,DETACHED,S7,475.1,995000
28,3.0,DETACHED,S21,147.0,230000
29,4.0,DETACHED,S13,147.0,485000
30,4.0,FLAT,S9,61.0,480000
31,6.0,DETACHED,S60,255.0,625000
32,1.0,FLAT,S2,61.0,69950
33,2.0,SEMI-DETACHED,S5,96.0,60000
35,3.0,TERRACED,S3,64.0,90000
36,3.0,TERRACED,S60,64.0,261995
37,4.0,DETACHED,S13,147.0,545000
39,4.0,DETACHED,S21,147.0,275000
40,5.0,TERRACED,S6,64.0,320000
41,5.0,TERRACED,S11,64.0,550000
42,1.0,FLAT,S6,51.57,194999
43,2.0,FLAT,S3,61.0,90000
44,3.0,DETACHED,S13,147.0,325000
45,3.0,FLAT,S10,230.0,795000
