Colour,Texture,Weight,Diameter,Fruit
red,1,120,5,apple
orange,0.8,98,4,clementine
green,0.85,235,8.2,apple
orange,0.9,105,5.2,clementine
orange,0.6,125,6.4,clementine
green,0.15,165,9.1,apple
red,0,187,11.1,apple
orange,1,103,5.7,clementine
red,0.4,196,9.6,apple
orange,0.35,112,4.4,clementine
orange,0.55,96,6.1,clementine
red,0.2,215,8.3,apple
red,0.35,223,10,apple
green,0.1,246,10.2,apple
orange,0.75,111,6.7,clementine
red,0.2,167,8.5,apple
green,0.15,197,9.4,apple
orange,0.95,123,5.6,clementine
orange,1,132,4.8,clementine
orange,0.65,109,3.9,clementine
