beds,types,postcode,size,price
3,TOWN HOUSE,S3,112,345000
2,TOWN HOUSE,S20,65.7,155000
6,DETACHED,S10,10117,2000000
6,SEMI-DETACHED,S2,225.5,350000
4,DETACHED,S11,214,825000
2,TERRACED,S20,64,155000
4,SEMI-DETACHED,S2,96,280000
3,SEMI-DETACHED,S60,96,247995
3,TERRACED,S2,99,195000
6,DETACHED,S10,147,2000000
6,DETACHED,S7,475.1,995000
3,SEMI-DETACHED,S2,69.2,155000
2,SEMI-DETACHED,S26,73.4,170000
5,DETACHED,S11,4500,1750000
2,SEMI-DETACHED,S63,62,115000
1,FLAT,S1,61,87950
2,SEMI-DETACHED,S12,96,125000
5,SEMI-DETACHED,S11,183,615000
3,SEMI-DETACHED,S21,96,150000
3,SEMI-DETACHED,S13,96,220000
2,TERRACED,S2,96,188000
3,TERRACED,S2,64,195000
8,DETACHED,S10,147,2000000
1,DETACHED,S4,38,1250000
6,DETACHED,S7,475.1,995000
3,DETACHED,S21,147,230000
4,DETACHED,S13,147,485000
4,FLAT,S9,61,480000
6,DETACHED,S60,255,625000
1,FLAT,S2,61,69950
2,SEMI-DETACHED,S5,96,60000
3,TERRACED,S3,64,90000
3,TERRACED,S60,64,261995
4,DETACHED,S13,147,545000
4,DETACHED,S21,147,275000
5,TERRACED,S6,64,320000
5,TERRACED,S11,64,550000
1,FLAT,S6,51.57,194999
2,FLAT,S3,61,90000
3,DETACHED,S13,147,325000
3,FLAT,S10,230,795000
